,container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country
0,Author,['basics'],9hwXx34AAAAJ,AUTHOR_PROFILE_PAGE,Ahmed E. Hassan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9hwXx34AAAAJ&citpid=6,"Mustafa Prize Laureate, ACM/IEEE/NSERC Steacie Fellow, ACM Influential/IEEE Distinguished Educator","['Mining Software Repositories', 'Software Analytics', 'Empirical Software Engineering', 'Software']",@cs.queensu.ca,http://sail.cs.queensu.ca/,32995,,,
1,Author,['basics'],DnnCWN0AAAAJ,AUTHOR_PROFILE_PAGE,Christopher Ré,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DnnCWN0AAAAJ&citpid=5,"Computer Science, Stanford University","['machine learning', 'machine learning systems', 'data', 'data management']",@cs.stanford.edu,http://cs.stanford.edu/people/chrismre/,30244,8539678734835078480,Stanford University,USA
2,Author,['basics'],BYm7qHAAAAAJ,AUTHOR_PROFILE_PAGE,Jaechang Nam,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BYm7qHAAAAAJ&citpid=7,Handong Global University,"['Software Quality', 'Software Defect Prediction', 'Transfer Learning In Software Engineering', 'Mining Software Repositories']",@handong.edu,http://lifove.github.io/,2922,,,
3,Author,['basics'],YG0DFyYAAAAJ,AUTHOR_PROFILE_PAGE,Hanwang Zhang (张含望）,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YG0DFyYAAAAJ&citpid=4,"Associate Professor, SCSE, Nanyang Technological University","['Computer Vision', 'Causality', 'Machine Learning', 'Multimedia']",@ntu.edu.sg,https://mreallab.github.io/index.html,23357,3012140508424117850,Nanyang Technological University,Singapore
4,Author,['basics'],SKVnHakAAAAJ,AUTHOR_PROFILE_PAGE,H. V. Jagadish,,University of Michigan,[],@umich.edu,,45821,4770128543809686866,University of Michigan,USA
5,Author,['basics'],H-VmFU4AAAAJ,AUTHOR_PROFILE_PAGE,Jeffrey Naughton,,Celonis,['database management systems'],@celonis.com,,27536,,,
6,Author,['basics'],wIV5UK4AAAAJ,AUTHOR_PROFILE_PAGE,Zhourong Chen,,Google Research,"['Machine Learning', 'Deep Learning', 'Natural Language Processing', 'Computer Vision']",@google.com,http://chzhour.github.io/,8637,6518679690484165796,Google Inc.,USA
7,Author,['basics'],rejzeocAAAAJ,AUTHOR_PROFILE_PAGE,Elaine Shi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rejzeocAAAAJ&citpid=2,Carnegie Mellon University,"['Cryptography', 'Algorithms', 'Security', 'Distributed Systems']",@cs.cmu.edu,http://elaineshi.com/,34181,17554517495610703090,Carnegie Mellon University,USA
8,Author,['basics'],D81KargAAAAJ,AUTHOR_PROFILE_PAGE,Soroush Farokhnia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=D81KargAAAAJ&citpid=1,Hong Kong University of Science and Technology (HKUST),['blockchain'],@connect.ust.hk,http://soroush.farokhnia.me/,10,9568810911513724267,Hong Kong University of Science and Technology,Hong Kong
9,Author,['basics'],_mRgp6cAAAAJ,AUTHOR_PROFILE_PAGE,Lawrence L. Larmore,,"Professor of Computer Science, University of Nevada Las Vegas","['Distributed computing', 'on-line algorithms', 'T-theory', 'dynamic programming']",@unlv.edu,http://www.egr.unlv.edu/~larmore/,3256,17605552158869246793,"University of Nevada, Las Vegas",USA
