container_type,filled,scholar_id,source,name,url_picture,affiliation,interests,email_domain,homepage,citedby,organization,org_name,org_country,Lat,Long,,,,,list,,
Author,['basics'],9hwXx34AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Ahmed E. Hassan,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=9hwXx34AAAAJ&citpid=6,"Mustafa Prize Laureate, ACM/IEEE/NSERC Steacie Fellow, ACM Influential/IEEE Distinguished Educator","['Mining Software Repositories', 'Software Analytics', 'Empirical Software Engineering', 'Software']",@cs.queensu.ca,http://sail.cs.queensu.ca/,32995,,,,,,,,,,USA,,
Author,['basics'],DnnCWN0AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Christopher Ré,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=DnnCWN0AAAAJ&citpid=5,"Computer Science, Stanford University","['machine learning', 'machine learning systems', 'data', 'data management']",@cs.stanford.edu,http://cs.stanford.edu/people/chrismre/,30244,8.54E+18,Stanford University,USA,37.09024,-95.712891,,,,,Singapore,,-95.712891
Author,['basics'],BYm7qHAAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jaechang Nam,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=BYm7qHAAAAAJ&citpid=7,Handong Global University,"['Software Quality', 'Software Defect Prediction', 'Transfer Learning In Software Engineering', 'Mining Software Repositories']",@handong.edu,http://lifove.github.io/,2922,,,,#N/A,#N/A,,,,,Hong Kong,,#N/A
Author,['basics'],YG0DFyYAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Hanwang Zhang (张含望）,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=YG0DFyYAAAAJ&citpid=4,"Associate Professor, SCSE, Nanyang Technological University","['Computer Vision', 'Causality', 'Machine Learning', 'Multimedia']",@ntu.edu.sg,https://mreallab.github.io/index.html,23357,3.01E+18,Nanyang Technological University,Singapore,1.352083,103.819839,,,,,China,,103.819839
Author,['basics'],SKVnHakAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,H. V. Jagadish,,University of Michigan,[],@umich.edu,,45821,4.77E+18,University of Michigan,USA,37.09024,-95.712891,,,,,Cyprus,,-95.712891
Author,['basics'],H-VmFU4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Jeffrey Naughton,,Celonis,['database management systems'],@celonis.com,,27536,,,,#N/A,#N/A,,,,,Austria,,#N/A
Author,['basics'],wIV5UK4AAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Zhourong Chen,,Google Research,"['Machine Learning', 'Deep Learning', 'Natural Language Processing', 'Computer Vision']",@google.com,http://chzhour.github.io/,8637,6.52E+18,Google Inc.,USA,37.09024,-95.712891,,,,,UK,,-95.712891
Author,['basics'],rejzeocAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Elaine Shi,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=rejzeocAAAAJ&citpid=2,Carnegie Mellon University,"['Cryptography', 'Algorithms', 'Security', 'Distributed Systems']",@cs.cmu.edu,http://elaineshi.com/,34181,1.76E+19,Carnegie Mellon University,USA,37.09024,-95.712891,,,,,Canada,,-95.712891
Author,['basics'],D81KargAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Soroush Farokhnia,https://scholar.googleusercontent.com/citations?view_op=view_photo&user=D81KargAAAAJ&citpid=1,Hong Kong University of Science and Technology (HKUST),['blockchain'],@connect.ust.hk,http://soroush.farokhnia.me/,10,9.57E+18,Hong Kong University of Science and Technology,Hong Kong,22.396427,114.109497,,,,,Netherlands,,114.109497
Author,['basics'],_mRgp6cAAAAJ,AuthorSource.AUTHOR_PROFILE_PAGE,Lawrence L. Larmore,,"Professor of Computer Science, University of Nevada Las Vegas","['Distributed computing', 'on-line algorithms', 'T-theory', 'dynamic programming']",@unlv.edu,http://www.egr.unlv.edu/~larmore/,3256,1.76E+19,"University of Nevada, Las Vegas",USA,37.09024,-95.712891,,,,,Greece,,-95.712891
